,mean,std
Open,-0.9328511546741869,0.3301073599691759
High,-0.9136734272717245,0.32661318790290594
Low,-0.9526502351917812,0.33183874482620535
Close,-0.9331847485117498,0.32923671212646094
Volume,16.335195990252387,0.5628324689318033
pct_chg,0.00502232569629215,0.15671853917161335
