,mean,std
Open,24.55353498871332,15.816406542205726
High,24.957047404063204,15.950211956834352
Low,24.143909706546275,15.688377560751197
Close,24.56183295711061,15.822538127891464
Volume,351232.98374717834,259757.64783219047
