,mean,std
Open,2.1260936940680786,0.7466610439057059
High,2.1381530804466578,0.7434613474184772
Low,2.1121108788089513,0.7502572399645232
Close,2.1254490727942716,0.7468903329283463
Volume,16.894889418310253,0.5568568882475734
pct_chg,0.0012695941317687426,0.022267195456637467
