date,Open,High,Low,Close,Volume,pct_chg
2006-01-04 16:00:00,16.4,18.0,16.0,17.9,8373240,0.059171597633136175
2006-01-05 16:00:00,16.6,17.5,16.3,17.5,9242381,-0.022346368715083775
2006-01-06 16:00:00,17.6,18.6,17.0,18.1,9452809,0.034285714285714475
2006-01-09 16:00:00,18.6,19.3,16.4,16.8,11148822,-0.07182320441988954
2006-01-10 16:00:00,17.3,17.6,16.8,17.5,5044409,0.04166666666666652
2006-01-11 16:00:00,17.7,18.1,17.1,17.4,2345003,-0.005714285714285783
2006-01-12 16:00:00,17.2,18.0,17.1,17.6,2985067,0.011494252873563315
2006-01-13 16:00:00,17.8,18.9,17.7,18.9,4496803,0.07386363636363624
2006-01-17 16:00:00,19.0,19.51,18.9,19.4,6196830,0.02645502645502651
2006-01-18 16:00:00,18.6,19.2,17.1,17.2,5518866,-0.11340206185567003
2006-01-19 16:00:00,19.0,19.2,18.3,18.9,4679567,0.09883720930232553
2006-01-20 16:00:00,19.3,20.2,18.1,18.3,7894675,-0.03174603174603163
2006-01-23 16:00:00,19.2,19.5,18.4,18.8,4658994,0.02732240437158473
2006-01-24 16:00:00,18.8,19.1,18.1,18.5,2961755,-0.015957446808510634
2006-01-25 16:00:00,19.5,19.7,18.6,18.9,4204113,0.021621621621621623
2006-01-26 16:00:00,18.9,19.0,18.5,18.8,4493439,-0.005291005291005124
2006-01-27 16:00:00,19.0,19.3,18.5,18.7,3456695,-0.005319148936170248
2006-01-30 16:00:00,18.5,18.8,17.5,17.9,5763488,-0.042780748663101664
2006-01-31 16:00:00,16.8,16.8,16.3,16.3,3200,-0.0893854748603351
2006-02-01 16:00:00,16.5,16.8,16.1,16.7,5081871,0.024539877300613355
2006-02-02 16:00:00,17.45,17.7,16.5,16.8,5041291,0.005988023952095967
2006-02-03 16:00:00,16.7,17.2,16.1,16.3,3569817,-0.029761904761904767
2006-02-06 16:00:00,16.5,16.6,16.1,16.3,3893540,0.0
2006-02-07 16:00:00,16.05,16.2,14.7,14.8,5163648,-0.09202453987730064
2006-02-08 16:00:00,14.6,16.5,14.4,15.5,4561596,0.04729729729729715
2006-02-09 16:00:00,16.15,16.3,15.9,15.9,2659331,0.02580645161290329
2006-02-10 16:00:00,16.4,16.4,15.4,15.9,3606753,0.0
2006-02-13 16:00:00,15.6,15.7,14.9,15.1,2763766,-0.05031446540880502
2006-02-14 16:00:00,15.4,15.5,14.3,14.5,4792049,-0.039735099337748325
2006-02-15 16:00:00,14.7,15.1,14.0,14.2,3833942,-0.020689655172413834
2006-02-16 16:00:00,13.9,15.01,13.8,14.6,2599661,0.028169014084507005
2006-02-17 16:00:00,14.9,15.1,14.7,15.0,1906942,0.027397260273972712
2006-02-21 16:00:00,15.3,15.4,15.0,15.3,2312357,0.020000000000000018
2006-02-22 16:00:00,15.1,15.4,14.5,14.7,2445716,-0.03921568627450989
2006-02-23 16:00:00,15.0,15.0,13.7,13.8,4661265,-0.061224489795918324
2006-02-24 16:00:00,14.0,15.1,14.0,14.9,2647807,0.07971014492753614
2006-02-27 16:00:00,14.7,14.7,14.1,14.2,1618501,-0.046979865771812124
2006-02-28 16:00:00,14.3,14.4,13.9,14.1,3604953,-0.007042253521126751
2006-03-01 16:00:00,14.1,14.5,14.1,14.5,1829134,0.028368794326241176
2006-03-02 16:00:00,14.4,15.8,14.35,15.5,5364564,0.06896551724137923
2006-03-03 16:00:00,15.1,16.3,15.0,15.8,6055655,0.019354838709677358
2006-03-06 16:00:00,15.8,16.3,14.5,14.7,5691472,-0.069620253164557
2006-03-07 16:00:00,14.4,14.7,14.1,14.5,2974119,-0.013605442176870652
