date,Open,High,Low,Close,Volume,pct_chg
2006-01-04 16:00:00,0.32,0.33,0.32,0.33,4250636,0.03125
2006-01-05 16:00:00,0.33,0.34,0.33,0.33,5384188,0.0
2006-01-06 16:00:00,0.34,0.34,0.33,0.34,5194979,0.030303030303030276
2006-01-09 16:00:00,0.34,0.35,0.34,0.35,4670776,0.02941176470588225
2006-01-10 16:00:00,0.35,0.35,0.34,0.35,2830491,0.0
2006-01-11 16:00:00,0.35,0.36,0.35,0.36,5219775,0.028571428571428692
2006-01-12 16:00:00,0.36,0.37,0.35,0.36,4129153,0.0
2006-01-13 16:00:00,0.36,0.36,0.35,0.35,3510837,-0.02777777777777779
2006-01-17 16:00:00,0.35,0.35,0.34,0.35,2745220,0.0
2006-01-18 16:00:00,0.34,0.36,0.34,0.36,3836478,0.028571428571428692
2006-01-19 16:00:00,0.36,0.38,0.36,0.38,7623058,0.05555555555555558
2006-01-20 16:00:00,0.38,0.38,0.37,0.37,3847986,-0.02631578947368418
2006-01-23 16:00:00,0.37,0.37,0.36,0.37,2790786,0.0
2006-01-24 16:00:00,0.37,0.38,0.37,0.37,3240884,0.0
2006-01-25 16:00:00,0.37,0.37,0.36,0.37,3335732,0.0
2006-01-26 16:00:00,0.37,0.38,0.37,0.38,3741624,0.027027027027026973
2006-01-27 16:00:00,0.38,0.39,0.38,0.39,3208633,0.026315789473684292
2006-01-30 16:00:00,0.39,0.39,0.38,0.38,2631499,-0.02564102564102566
2006-01-31 16:00:00,0.38,0.38,0.37,0.37,3205118,-0.02631578947368418
2006-02-01 16:00:00,0.37,0.38,0.37,0.37,3757121,0.0
2006-02-02 16:00:00,0.38,0.38,0.36,0.36,3948525,-0.027027027027027084
2006-02-03 16:00:00,0.36,0.37,0.36,0.37,4202112,0.0277777777777779
2006-02-06 16:00:00,0.37,0.38,0.36,0.38,3028911,0.027027027027026973
2006-02-07 16:00:00,0.38,0.38,0.36,0.36,3328929,-0.052631578947368474
2006-02-08 16:00:00,0.36,0.37,0.36,0.37,3276316,0.0277777777777779
2006-02-09 16:00:00,0.38,0.38,0.37,0.37,3642429,0.0
2006-02-10 16:00:00,0.37,0.37,0.36,0.37,3458249,0.0
2006-02-13 16:00:00,0.36,0.37,0.36,0.37,2339571,0.0
2006-02-14 16:00:00,0.37,0.37,0.36,0.37,2939503,0.0
2006-02-15 16:00:00,0.37,0.38,0.37,0.37,4110912,0.0
2006-02-16 16:00:00,0.38,0.39,0.38,0.39,11149883,0.05405405405405417
2006-02-17 16:00:00,0.42,0.42,0.39,0.4,19641288,0.025641025641025772
2006-02-21 16:00:00,0.39,0.4,0.38,0.39,5707336,-0.025000000000000022
2006-02-22 16:00:00,0.38,0.39,0.37,0.39,7831323,0.0
2006-02-23 16:00:00,0.39,0.39,0.38,0.38,3209447,-0.02564102564102566
2006-02-24 16:00:00,0.38,0.39,0.38,0.38,3470062,0.0
2006-02-27 16:00:00,0.38,0.4,0.38,0.4,5555387,0.05263157894736836
2006-02-28 16:00:00,0.4,0.4,0.39,0.39,4694327,-0.025000000000000022
2006-03-01 16:00:00,0.39,0.41,0.39,0.41,5869215,0.0512820512820511
2006-03-02 16:00:00,0.41,0.41,0.4,0.41,4548506,0.0
2006-03-03 16:00:00,0.4,0.42,0.4,0.41,4965035,0.0
2006-03-06 16:00:00,0.42,0.42,0.41,0.41,4408592,0.0
2006-03-07 16:00:00,0.41,0.41,0.39,0.4,5052070,-0.024390243902438935
2006-03-08 16:00:00,0.4,0.4,0.39,0.4,5590398,0.0
2006-03-09 16:00:00,0.4,0.41,0.4,0.4,4482576,0.0
2006-03-10 16:00:00,0.4,0.41,0.39,0.39,4350884,-0.025000000000000022
2006-03-13 16:00:00,0.4,0.4,0.4,0.4,3103189,0.025641025641025772
2006-03-14 16:00:00,0.4,0.41,0.4,0.41,5231949,0.02499999999999991
