Model,Dataset,Horizon,MSE,MAE,RMSE,R²
Informer,ANGLO_AMERICAN,22,0.007917435839772224,0.06318467110395432,0.08897997438907623,-0.008443355560302734
iTransformer,NVIDIA,3,0.0012519097654148936,0.026739466935396194,0.035382337868213654,-0.1159963607788086
iTransformer,NVIDIA,5,0.0012371230404824018,0.026719197630882263,0.03517276048660278,-0.09569108486175537
iTransformer,NVIDIA,10,0.0012339205713942647,0.02679450251162052,0.03512720391154289,-0.07566344738006592
iTransformer,NVIDIA,22,0.0012475940166041255,0.026781752705574036,0.03532129526138306,-0.05741250514984131
iTransformer,NVIDIA,50,0.0012280582450330257,0.026852713897824287,0.035043660551309586,-0.03198862075805664
iTransformer,NVIDIA,100,0.001309285406023264,0.027810323983430862,0.036184050142765045,-0.01698756217956543
iTransformer,APPLE,3,0.0002226001670351252,0.010904060676693916,0.014919791370630264,-0.1133195161819458
iTransformer,APPLE,5,0.0002195507986471057,0.010822916403412819,0.014817246235907078,-0.09305620193481445
iTransformer,APPLE,10,0.00022052008716855198,0.010844172909855843,0.014849918894469738,-0.08916699886322021
iTransformer,APPLE,22,0.00022250344045460224,0.010827557183802128,0.014916549436748028,-0.07228255271911621
iTransformer,APPLE,50,0.00023328838869929314,0.01101688388735056,0.01527378149330616,-0.05144059658050537
iTransformer,APPLE,100,0.00024498713901266456,0.011285796761512756,0.015652064234018326,-0.0375896692276001
iTransformer,NASDAQ,3,0.00014754643780179322,0.00890523660928011,0.01214686967432499,-0.08403289318084717
iTransformer,NASDAQ,5,0.00014612132508773357,0.008884375914931297,0.012088065035641193,-0.06811559200286865
iTransformer,NASDAQ,10,0.0001451186544727534,0.00885506346821785,0.012046520598232746,-0.0483475923538208
iTransformer,NASDAQ,22,0.00014691220712848008,0.008860795758664608,0.01212073490023613,-0.04993176460266113
iTransformer,NASDAQ,50,0.0001504316460341215,0.008885692805051804,0.012265058234333992,-0.03856527805328369
iTransformer,NASDAQ,100,0.0001573579356772825,0.008828293532133102,0.012544238939881325,-0.037474870681762695
iTransformer,ABSA,3,0.0005006106221117079,0.016904016956686974,0.022374330088496208,-0.09937500953674316
iTransformer,ABSA,5,0.0005066614248789847,0.01701672561466694,0.022509140893816948,-0.1061936616897583
iTransformer,ABSA,10,0.0004997850046493113,0.016881093382835388,0.02235587127506733,-0.08254504203796387
iTransformer,ABSA,22,0.0005015438655391335,0.017002400010824203,0.022395174950361252,-0.07048225402832031
iTransformer,ABSA,50,0.0005131588550284505,0.017366718500852585,0.022653009742498398,-0.05481910705566406
iTransformer,ABSA,100,0.0005402045790106058,0.01769166626036167,0.023242302238941193,-0.04683947563171387
iTransformer,SASOL,3,0.002330603776499629,0.035854585468769073,0.048276327550411224,-0.05792093276977539
iTransformer,SASOL,5,0.002325142966583371,0.03578411415219307,0.04821973666548729,-0.047644853591918945
iTransformer,SASOL,10,0.0023102709092199802,0.035456154495477676,0.04806527867913246,-0.040802836418151855
iTransformer,SASOL,22,0.002334543038159609,0.0353444442152977,0.04831710830330849,-0.04028964042663574
iTransformer,SASOL,50,0.002129900036379695,0.03409022465348244,0.04615084081888199,-0.03960311412811279
iTransformer,SASOL,100,0.0020208489149808884,0.0333939827978611,0.044953852891922,-0.01835775375366211
iTransformer,DRD_GOLD,3,0.0010053160367533565,0.022921551018953323,0.03170672059059143,-0.08404624462127686
iTransformer,DRD_GOLD,5,0.0009955341229215264,0.022703640162944794,0.031552087515592575,-0.06611740589141846
iTransformer,DRD_GOLD,10,0.001006429665721953,0.022904368117451668,0.03172427415847778,-0.06134068965911865
iTransformer,DRD_GOLD,22,0.0010060988133773208,0.02273186296224594,0.031719062477350235,-0.05651581287384033
iTransformer,DRD_GOLD,50,0.0009944066405296326,0.022625697776675224,0.031534213572740555,-0.06789624691009521
iTransformer,DRD_GOLD,100,0.0009458996937610209,0.021703805774450302,0.030755482614040375,-0.046875
iTransformer,ANGLO_AMERICAN,3,0.00807176623493433,0.06103427708148956,0.0898430123925209,-0.19142413139343262
iTransformer,ANGLO_AMERICAN,5,0.008465741761028767,0.06309574842453003,0.09200946241617203,-0.20048797130584717
iTransformer,ANGLO_AMERICAN,10,0.009478350169956684,0.06804206222295761,0.09735681861639023,-0.22324895858764648
iTransformer,ANGLO_AMERICAN,22,0.009341294877231121,0.06923278421163559,0.0966503769159317,-0.18980014324188232
Mamba,NVIDIA,3,0.0011538239195942879,0.025427406653761864,0.03396798297762871,-0.028559207916259766
Mamba,NVIDIA,5,0.0011718100868165493,0.025821805000305176,0.03423171117901802,-0.03784489631652832
Mamba,NVIDIA,10,0.0011730206897482276,0.02587970532476902,0.03424939140677452,-0.022574305534362793
Mamba,NVIDIA,22,0.0012169756228104234,0.026283761486411095,0.03488517925143242,-0.031461477279663086
Mamba,NVIDIA,50,0.001208090572617948,0.026512041687965393,0.034757595509290695,-0.015208959579467773
Mamba,NVIDIA,100,0.0013063057558611035,0.027484415099024773,0.036142852157354355,-0.014673113822937012
Mamba,APPLE,3,0.00020779170154128224,0.010592186823487282,0.014414981938898563,-0.03925597667694092
Mamba,APPLE,5,0.0002133488596882671,0.010591390542685986,0.014606466516852379,-0.06217920780181885
Mamba,APPLE,10,0.00021889344498049468,0.010741034522652626,0.014795048162341118,-0.08113288879394531
Mamba,APPLE,22,0.00022216103388927877,0.01075816247612238,0.014905067160725594,-0.0706324577331543
Mamba,APPLE,50,0.00023597302788402885,0.011133220046758652,0.015361413359642029,-0.06354033946990967
Mamba,APPLE,100,0.00024839333491399884,0.011314773932099342,0.015760499984025955,-0.05201590061187744
Mamba,NASDAQ,3,0.00014094539801590145,0.008727695792913437,0.011872042901813984,-0.03553462028503418
Mamba,NASDAQ,5,0.00014757901953998953,0.00887412391602993,0.012148210778832436,-0.07877111434936523
Mamba,NASDAQ,10,0.00015066984633449465,0.009039553813636303,0.012274764478206635,-0.08844971656799316
Mamba,NASDAQ,22,0.00015165082004386932,0.009020797908306122,0.012314658612012863,-0.08379697799682617
Mamba,NASDAQ,50,0.00015331832400988787,0.008986967615783215,0.012382177636027336,-0.0584946870803833
Mamba,NASDAQ,100,0.00015787062875460833,0.008816289715468884,0.01256465818732977,-0.04085516929626465
Mamba,ABSA,3,0.00047577227815054357,0.016750916838645935,0.021812204271554947,-0.04482829570770264
Mamba,ABSA,5,0.0004880137275904417,0.016756368800997734,0.022091032937169075,-0.06548011302947998
Mamba,ABSA,10,0.00048698330647312105,0.016828317195177078,0.02206769771873951,-0.054816246032714844
Mamba,ABSA,22,0.00048665812937542796,0.01692713238298893,0.022060329094529152,-0.038710594177246094
Mamba,ABSA,50,0.0005199767183512449,0.017734719440340996,0.02280299738049507,-0.0688333511352539
Mamba,ABSA,100,0.0005378985079005361,0.017688605934381485,0.023192638531327248,-0.04237067699432373
Mamba,SASOL,3,0.0022755374666303396,0.03518939018249512,0.047702595591545105,-0.03292489051818848
Mamba,SASOL,5,0.0022932891733944416,0.03518415242433548,0.04788829758763313,-0.033292531967163086
Mamba,SASOL,10,0.0022931708954274654,0.035255737602710724,0.04788706451654434,-0.03309905529022217
Mamba,SASOL,22,0.0023865560069680214,0.035778775811195374,0.04885239154100418,-0.06346702575683594
Mamba,SASOL,50,0.0021906548645347357,0.03470426797866821,0.046804431825876236,-0.06925761699676514
Mamba,SASOL,100,0.00201878952793777,0.033016808331012726,0.044930942356586456,-0.017319917678833008
Mamba,DRD_GOLD,3,0.0009840826969593763,0.022409211844205856,0.03137009218335152,-0.06115007400512695
Mamba,DRD_GOLD,5,0.000992238987237215,0.022628173232078552,0.03149982541799545,-0.06258869171142578
Mamba,DRD_GOLD,10,0.0009881154401227832,0.022341664880514145,0.031434305012226105,-0.04202723503112793
Mamba,DRD_GOLD,22,0.0009848190238699317,0.022458920255303383,0.03138182684779167,-0.034169673919677734
Mamba,DRD_GOLD,50,0.000968737353105098,0.022186504676938057,0.031124545261263847,-0.040329933166503906
Mamba,DRD_GOLD,100,0.0009390359628014266,0.021644657477736473,0.03064369410276413,-0.039278507232666016
Mamba,ANGLO_AMERICAN,3,0.00717761367559433,0.05953076109290123,0.08472079783678055,-0.05944371223449707
Mamba,ANGLO_AMERICAN,5,0.007467489689588547,0.0608585961163044,0.086414635181427,-0.058930397033691406
Mamba,ANGLO_AMERICAN,10,0.008199385367333889,0.06484968215227127,0.09055045992136002,-0.05818939208984375
Mamba,ANGLO_AMERICAN,22,0.00824542436748743,0.06540389358997345,0.0908043161034584,-0.050219178199768066
